Runs,Time spent,Balls Faced,4s,6s,SR,Pos,Dismissal,Inns,Format,Opposition,Ground,Start Date,Runs_scored
57,66,50,3,1,114,3,not out,2,T20I , Bangladesh,Mirpur,28-Mar-14,57
23,23,22,2,1,104.54,3,caught,1,T20I , Australia,Mirpur,30-Mar-14,23
72,67,44,5,2,163.63,3,not out,2,T20I , South Africa,Mirpur,4-Apr-14,72
77,75,58,5,4,132.75,3,run out,1,T20I , Sri Lanka,Mirpur,6-Apr-14,77
1,6,8,0,0,12.5,4,caught,1,Test , England,Nottingham,9-Jul-14,1
8,39,29,1,0,27.58,4,lbw,3,Test , England,Nottingham,9-Jul-14,8
25,39,34,4,0,73.52,4,caught,1,Test , England,Lord's,17-Jul-14,25
0,1,1,0,0,0,4,bowled,3,Test , England,Lord's,17-Jul-14,0
39,119,75,3,0,52,4,caught,2,Test , England,Southampton,27-Jul-14,39
28,77,56,3,0,50,4,caught,4,Test , England,Southampton,27-Jul-14,28
0,3,2,0,0,0,4,caught,1,Test , England,Manchester,7-Aug-14,0
7,15,11,1,0,63.63,4,caught,3,Test , England,Manchester,7-Aug-14,7
6,34,18,1,0,33.33,4,lbw,1,Test , England,The Oval,15-Aug-14,6
20,80,54,2,0,37.03,4,caught,3,Test , England,The Oval,15-Aug-14,20
0,1,3,0,0,0,3,caught,1,ODI , England,Cardiff,27-Aug-14,0
40,67,50,2,1,80,3,caught,2,ODI , England,Nottingham,30-Aug-14,40
1,9,3,0,0,33.33,3,not out,2,ODI , England,Birmingham,2-Sep-14,1
13,25,21,2,0,61.9,3,caught,2,ODI , England,Leeds,5-Sep-14,13
66,54,41,9,1,160.97,3,caught,2,T20I , England,Birmingham,7-Sep-14,66
2,7,5,0,0,40,3,caught,2,ODI , West Indies,Kochi,8-Oct-14,2
62,124,78,5,0,79.48,4,caught,1,ODI , West Indies,Delhi,11-Oct-14,62
127,164,114,13,3,111.4,3,run out,1,ODI , West Indies,Dharamsala,17-Oct-14,127
22,34,21,2,0,104.76,4,caught,1,ODI , Sri Lanka,Cuttack,2-Nov-14,22
49,,44,2,2,111.36,4,caught,2,ODI , Sri Lanka,Ahmedabad,6-Nov-14,49
53,,61,4,1,86.88,4,caught,2,ODI , Sri Lanka,Hyderabad,9-Nov-14,53
66,109,64,6,0,103.12,4,run out,1,ODI , Sri Lanka,Eden Gardens,13-Nov-14,66
139,192,126,12,3,110.31,4,not out,2,ODI , Sri Lanka,Ranchi,16-Nov-14,139
115,267,184,12,0,62.5,4,caught,2,Test , Australia,Adelaide,9-Dec-14,115
141,279,175,16,1,80.57,4,caught,4,Test , Australia,Adelaide,9-Dec-14,141
19,50,27,1,0,70.37,4,caught,1,Test , Australia,Brisbane,17-Dec-14,19
1,14,11,0,0,9.09,4,bowled,3,Test , Australia,Brisbane,17-Dec-14,1
169,380,272,18,0,62.13,4,caught,2,Test , Australia,Melbourne,26-Dec-14,169
54,134,99,7,0,54.54,4,caught,4,Test , Australia,Melbourne,26-Dec-14,54
147,315,230,20,0,63.91,4,caught,2,Test , Australia,Sydney,6-Jan-15,147
46,123,95,3,0,48.42,4,caught,4,Test , Australia,Sydney,6-Jan-15,46
9,24,16,0,0,56.25,4,caught,1,ODI , Australia,Melbourne,18-Jan-15,9
4,13,8,0,0,50,4,caught,1,ODI , England,Brisbane,20-Jan-15,4
3,8,9,0,0,33.33,4,not out,1,ODI , Australia,Sydney,26-Jan-15,3
8,26,19,0,0,42.1,3,caught,1,ODI , England,W.A.C.A,30-Jan-15,8
107,168,126,8,0,84.92,3,caught,1,ODI , Pakistan,Adelaide,15-Feb-15,107
46,106,60,3,0,76.66,3,caught,1,ODI , South Africa,Melbourne,22-Feb-15,46
33,49,41,5,0,80.48,3,not out,2,ODI , U.A.E.,W.A.C.A,28-Feb-15,33
33,51,36,5,0,91.66,3,caught,2,ODI , West Indies,W.A.C.A,6-Mar-15,33
44,64,42,4,1,104.76,3,not out,2,ODI , Ireland,Hamilton,10-Mar-15,44
38,71,48,4,0,79.16,3,bowled,2,ODI , Zimbabwe,Auckland,14-Mar-15,38
